country,year_month,PCPI_IX,date
BO,1979-02,0.000135404038076405,1979-02-01
BO,1979-03,0.000134802146813326,1979-03-01
BO,1979-04,0.000133791829336013,1979-04-01
BO,1979-05,0.000137166719632567,1979-05-01
BO,1979-06,0.000139595780801425,1979-06-01
BO,1979-07,0.000143809019642983,1979-07-01
BO,1979-08,0.000146603514792995,1979-08-01
BO,1979-09,0.000148387692465697,1979-09-01
BO,1979-10,0.000150838249751093,1979-10-01
BO,1979-11,0.00015745905364497,1979-11-01
BO,1979-12,0.000191422917775898,1979-12-01
BO,1980-01,0.000194819304188992,1980-01-01
BO,1980-02,0.000195550172151303,1980-02-01
BO,1980-03,0.000198796085748626,1980-03-01
BO,1980-04,0.00020051577507171,1980-04-01
BO,1980-05,0.000206577679935585,1980-05-01
BO,1980-06,0.000217992117817562,1980-06-01
BO,1980-07,0.000221195039181808,1980-07-01
BO,1980-08,0.000228568207154535,1980-08-01
BO,1980-09,0.000223237170252971,1980-09-01
BO,1980-10,0.000226203634335293,1980-10-01
BO,1980-11,0.000228826160552998,1980-11-01
BO,1980-12,0.000237231142119575,1980-12-01
BO,1981-01,0.000266745310127022,1981-01-01
BO,1981-02,0.00027183988974666,1981-02-01
BO,1981-03,0.000271087525667811,1981-03-01
BO,1981-04,0.000271345479066274,1981-04-01
BO,1981-05,0.000277342895580533,1981-05-01
BO,1981-06,0.000277729825678227,1981-06-01
BO,1981-07,0.0002817281033544,1981-07-01
BO,1981-08,0.000298602554837171,1981-08-01
BO,1981-09,0.000297140818912549,1981-09-01
BO,1981-10,0.000299204446100251,1981-10-01
BO,1981-11,0.000298796019886018,1981-11-01
BO,1981-12,0.000296839873281009,1981-12-01
BO,1982-01,0.000304363514069506,1982-01-01
BO,1982-02,0.000353245683078197,1982-02-01
BO,1982-03,0.00038205047923987,1982-03-01
BO,1982-04,0.000430244772519328,1982-04-01
BO,1982-05,0.000447527650216332,1982-05-01
BO,1982-06,0.000468615340540662,1982-06-01
BO,1982-07,0.000569733072738059,1982-07-01
BO,1982-08,0.000671624665130845,1982-08-01
BO,1982-09,0.000802364045918382,1982-09-01
BO,1982-10,0.000919797330568549,1982-10-01
BO,1982-11,0.00109232516190705,1982-11-01
BO,1982-12,0.00117710584553514,1982-12-01
BO,1983-01,0.00118411357952671,1983-01-01
BO,1983-02,0.00130550214961997,1983-02-01
BO,1983-03,0.0014597582819007,1983-03-01
BO,1983-04,0.00158189921607281,1983-04-01
BO,1983-05,0.00172828776970042,1983-05-01
BO,1983-06,0.00178359727755414,1983-06-01
BO,1983-07,0.00196313284288422,1983-07-01
BO,1983-08,0.00247228985921661,1983-08-01
BO,1983-09,0.00287800756276544,1983-09-01
BO,1983-10,0.00321003657882007,1983-10-01
BO,1983-11,0.00400554336356265,1983-11-01
BO,1983-12,0.00504374130402561,1983-12-01
BO,1984-01,0.00552604967080132,1984-01-01
BO,1984-02,0.00679741598735807,1984-02-01
BO,1984-03,0.00823410893621288,1984-03-01
BO,1984-04,0.0134195096482276,1984-04-01
BO,1984-05,0.0197292862319084,1984-05-01
BO,1984-06,0.0205320372079245,1984-06-01
BO,1984-07,0.0215948911940572,1984-07-01
BO,1984-08,0.0248332381583585,1984-08-01
BO,1984-09,0.0341027935321174,1984-09-01
BO,1984-10,0.0542672471472325,1984-10-01
BO,1984-11,0.0713914620080656,1984-11-01
BO,1984-12,0.114857813431565,1984-12-01
BO,1985-01,0.193834588586477,1985-01-01
BO,1985-02,0.548110258088619,1985-02-01
BO,1985-03,0.684812790580652,1985-03-01
BO,1985-04,0.765503171657668,1985-04-01
BO,1985-05,1.03854269518,1985-05-01
BO,1985-06,1.85340071395292,1985-06-01
BO,1985-07,3.08226258730903,1985-07-01
BO,1985-08,5.13076244189604,1985-08-01
BO,1985-09,8.03019651677468,1985-09-01
BO,1985-10,7.88047241074379,1985-10-01
BO,1985-11,8.13271158253155,1985-11-01
BO,1985-12,9.49933935827263,1985-12-01
BO,1986-01,12.6306545143061,1986-01-01
BO,1986-02,13.6349675458742,1986-02-01
BO,1986-03,13.6439444531174,1986-03-01
BO,1986-04,14.1342529221047,1986-04-01
BO,1986-05,14.2710577976076,1986-05-01
BO,1986-06,14.8788829776734,1986-06-01
BO,1986-07,15.144260124471,1986-07-01
BO,1986-08,15.2408113936399,1986-08-01
BO,1986-09,15.5880238261776,1986-09-01
BO,1986-10,15.6799418223877,1986-10-01
BO,1986-11,15.663347013885,1986-11-01
BO,1986-12,15.7654313189626,1986-12-01
BO,1987-01,16.1515616321448,1987-01-01
BO,1987-02,16.3502499793573,1987-02-01
BO,1987-03,16.4640276344289,1987-03-01
BO,1987-04,16.7262633817479,1987-04-01
BO,1987-05,16.7831326693138,1987-05-01
BO,1987-06,16.7464969453777,1987-06-01
BO,1987-07,16.7375510355345,1987-07-01
BO,1987-08,16.9037821599282,1987-08-01
BO,1987-09,17.0013692194725,1987-09-01
BO,1987-10,17.356401208339,1987-10-01
BO,1987-11,17.3070669974956,1987-11-01
BO,1987-12,17.4463574689538,1987-12-01
BO,1988-01,17.3677419790295,1988-01-01
BO,1988-02,17.7055831150739,1988-02-01
BO,1988-03,17.854196280306,1988-03-01
BO,1988-04,18.699722185157,1988-04-01
BO,1988-05,18.9640259448715,1988-05-01
BO,1988-06,19.3541739897153,1988-06-01
BO,1988-07,20.1270856044729,1988-07-01
BO,1988-08,20.6098476682843,1988-08-01
BO,1988-09,20.5335410977336,1988-09-01
BO,1988-10,20.9599962983722,1988-10-01
BO,1988-11,20.9203046005246,1988-11-01
BO,1988-12,21.198146614435,1988-12-01
BO,1989-01,21.3006066286374,1989-01-01
BO,1989-02,21.4175895051578,1989-02-01
BO,1989-03,21.5975253066817,1989-03-01
BO,1989-04,21.6218326208528,1989-04-01
BO,1989-05,21.756907553385,1989-05-01
BO,1989-06,21.7178312033693,1989-06-01
BO,1989-07,21.818137392679,1989-07-01
BO,1989-08,22.5018195520181,1989-08-01
BO,1989-09,23.3393455696188,1989-09-01
BO,1989-10,23.8243541710736,1989-10-01
BO,1989-11,24.2400402902409,1989-11-01
BO,1989-12,24.7089564044442,1989-12-01
BO,1990-01,24.9675525322081,1990-01-01
BO,1990-02,24.942239028458,1990-02-01
BO,1990-03,25.0350552088752,1990-03-01
BO,1990-04,25.1109957201256,1990-04-01
BO,1990-05,25.2544389080429,1990-05-01
BO,1990-06,25.7607089830455,1990-06-01
BO,1990-07,26.2163520505477,1990-07-01
BO,1990-08,26.5032384263825,1990-08-01
BO,1990-09,26.8154383059674,1990-09-01
BO,1990-10,27.7436001101387,1990-10-01
BO,1990-11,28.5283187263927,1990-11-01
BO,1990-12,29.1611563201458,1990-12-01
BO,1991-01,30.8655989059876,1991-01-01
BO,1991-02,30.941539417238,1991-02-01
BO,1991-03,31.1440474472391,1991-03-01
BO,1991-04,31.2959284697398,1991-04-01
BO,1991-05,31.5406256726577,1991-05-01
BO,1991-06,31.7768850409922,1991-06-01
BO,1991-07,32.0468957476602,1991-07-01
BO,1991-08,32.3759712964118,1991-08-01
BO,1991-09,32.5109766497458,1991-09-01
BO,1991-10,32.8231765293308,1991-10-01
BO,1991-11,33.1016250705821,1991-11-01
BO,1991-12,33.3969492810003,1991-12-01
BO,1992-01,34.2491705739212,1992-01-01
BO,1992-02,35.0170135210084,1992-02-01
BO,1992-03,35.2026458818426,1992-03-01
BO,1992-04,35.2954620622598,1992-04-01
BO,1992-05,35.5401592651777,1992-05-01
BO,1992-06,35.7679807989288,1992-06-01
BO,1992-07,36.0379915055968,1992-07-01
BO,1992-08,36.3670670543485,1992-08-01
BO,1992-09,36.3923805580986,1992-09-01
BO,1992-10,36.5864507535162,1992-10-01
BO,1992-11,36.7636452797671,1992-11-01
BO,1992-12,36.8902127985178,1992-12-01
BO,1993-01,37.5146125576876,1993-01-01
BO,1993-02,37.8690016101893,1993-02-01
BO,1993-03,37.8521259410226,1993-03-01
BO,1993-04,37.8943151139394,1993-04-01
BO,1993-05,38.1812014897743,1993-05-01
BO,1993-06,38.5271527076926,1993-06-01
BO,1993-07,38.9574822714447,1993-07-01
BO,1993-08,39.6409468726982,1993-08-01
BO,1993-09,39.8518927372826,1993-09-01
BO,1993-10,40.0544007672835,1993-10-01
BO,1993-11,40.1303412785339,1993-11-01
BO,1993-12,40.3159736393682,1993-12-01
BO,1994-01,40.6534870227033,1994-01-01
BO,1994-02,40.872870721871,1994-02-01
BO,1994-03,40.8391193835375,1994-03-01
BO,1994-04,41.0416274135385,1994-04-01
BO,1994-05,41.2947624510398,1994-05-01
BO,1994-06,41.4888326464575,1994-06-01
BO,1994-07,41.8769730372927,1994-07-01
BO,1994-08,42.3916809468786,1994-08-01
BO,1994-09,42.6532538189633,1994-09-01
BO,1994-10,42.9738915331315,1994-10-01
BO,1994-11,43.6995453073017,1994-11-01
BO,1994-12,43.7586101493854,1994-12-01
BO,1995-01,44.1214370364706,1995-01-01
BO,1995-02,44.3661342393884,1995-02-01
BO,1995-03,44.7795881339739,1995-03-01
BO,1995-04,45.4714905698106,1995-04-01
BO,1995-05,45.682436434395,1995-05-01
BO,1995-06,46.0030741485633,1995-06-01
BO,1995-07,46.1802686748142,1995-07-01
BO,1995-08,46.4165280431488,1995-08-01
BO,1995-09,46.6612252460666,1995-09-01
BO,1995-10,47.5387600427376,1995-10-01
BO,1995-11,48.3909813356585,1995-11-01
BO,1995-12,49.2600782977463,1995-12-01
BO,1996-01,50.01948341025,1996-01-01
BO,1996-02,51.4032882819236,1996-02-01
BO,1996-03,51.2851585977564,1996-03-01
BO,1996-04,51.1754667481725,1996-04-01
BO,1996-05,51.3695369435901,1996-05-01
BO,1996-06,51.6395476502582,1996-06-01
BO,1996-07,52.2217582365111,1996-07-01
BO,1996-08,52.7702174844304,1996-08-01
BO,1996-09,52.8545958302642,1996-09-01
BO,1996-10,52.8124066573474,1996-10-01
BO,1996-11,53.0908551985987,1996-11-01
BO,1996-12,53.1752335444325,1996-12-01
BO,1997-01,53.1752335444325,1997-01-01
BO,1997-02,53.2680497248497,1997-02-01
BO,1997-03,53.141482206099,1997-03-01
BO,1997-04,53.4368064165171,1997-04-01
BO,1997-05,53.8249468073524,1997-05-01
BO,1997-06,54.3227790477716,1997-06-01
BO,1997-07,55.0146814836084,1997-07-01
BO,1997-08,55.3775083706935,1997-08-01
BO,1997-09,54.7952977844406,1997-09-01
BO,1997-10,55.006243649025,1997-10-01
BO,1997-11,55.073746325692,1997-11-01
BO,1997-12,56.7528754077837,1997-12-01
BO,1998-01,57.546031858621,1998-01-01
BO,1998-02,58.0269884298734,1998-02-01
BO,1998-03,58.1451181140406,1998-03-01
