Partner Name,date,sales,mean_weekly
A Flourshop,2024-02-01,1,NA
A Flourshop,2024-02-03,2,NA
A Flourshop,2024-02-05,1,NA
A Flourshop,2024-02-07,1,NA
A Flourshop,2024-02-08,1,NA
A Flourshop,2024-02-09,2,NA
A Flourshop,2024-02-14,1,1.2857142857142858
A Flourshop,2024-02-20,3,1.5714285714285714
A Flourshop,2024-02-22,2,1.5714285714285714
A Flourshop,2024-03-01,2,1.7142857142857142
Alternative Chef,2024-02-25,3,NA
Alternative Chef,2024-02-26,4,NA
Alternative Chef,2024-03-04,11,NA
Alternative Chef,2024-03-11,16,NA
Alternative Chef,2024-03-18,5,NA
Awesome Shop,2023-11-21,1,NA
BEG Bakery & Creamery,2024-02-04,11,NA
BEG Bakery & Creamery,2024-02-08,10,NA
BEG Bakery & Creamery,2024-02-09,15,NA
BEG Bakery & Creamery,2024-02-10,3,NA
BEG Bakery & Creamery,2024-02-12,4,NA
BEG Bakery & Creamery,2024-02-16,9,NA
BEG Bakery & Creamery,2024-02-17,5,8.142857142857142
BEG Bakery & Creamery,2024-04-13,4,7.142857142857143
BEG Bakery & Creamery,2024-04-14,2,6
BEG Bakery & Creamery,2024-04-20,6,4.714285714285714
BEG Bakery & Creamery,2024-04-27,7,5.285714285714286
BEG Bakery & Creamery,2024-04-28,1,4.857142857142857
BEG Bakery & Creamery,2024-04-30,1,3.7142857142857144
BEG Bakery & Creamery,2024-05-10,3,3.4285714285714284
BEG Bakery & Creamery,2024-05-16,1,3
BEG Bakery & Creamery,2024-05-24,3,3.142857142857143
Bakery Four,2023-11-29,25,NA
Bakery Four,2023-11-30,26,NA
Bakery Four,2023-12-01,17,NA
Bakery Four,2023-12-02,12,NA
Bakery Four,2023-12-03,16,NA
Bakery Four,2023-12-06,8,NA
Bakery Four,2023-12-07,24,18.285714285714285
Bakery Four,2023-12-08,20,17.571428571428573
Bakery Four,2023-12-09,28,17.857142857142858
Bakery Four,2023-12-10,9,16.714285714285715
Bakery Four,2023-12-13,12,16.714285714285715
Bakery Four,2023-12-14,12,16.142857142857142
Bakery Four,2023-12-15,18,17.571428571428573
Bakery Four,2024-01-03,6,15
Bakery Four,2024-01-04,18,14.714285714285714
Bakery Four,2024-01-05,18,13.285714285714286
Bakery Four,2024-01-10,13,13.857142857142858
Bakery Four,2024-01-11,18,14.714285714285714
Bakery Four,2024-01-12,9,14.285714285714286
Bakery Four,2024-01-14,12,13.428571428571429
Bakery Four,2024-01-17,14,14.571428571428571
Bakery Four,2024-01-18,18,14.571428571428571
Bakery Four,2024-01-19,14,14
Bakery Four,2024-01-25,7,13.142857142857142
Bakery Four,2024-01-26,9,11.857142857142858
Bakery Four,2024-02-01,5,11.285714285714286
Bakery Four,2024-02-02,12,11.285714285714286
Bakery Four,2024-02-07,8,10.428571428571429
Bakery Four,2024-02-08,12,9.571428571428571
Bakery Four,2024-02-11,13,9.428571428571429
Bakery Four,2024-02-15,12,10.142857142857142
Bakery Four,2024-02-16,12,10.571428571428571
Bakery Four,2024-02-21,18,12.428571428571429
Bakery Four,2024-02-22,20,13.571428571428571
Bakery Four,2024-02-23,21,15.428571428571429
Bakery Four,2024-02-29,16,16
Bakery Four,2024-03-01,5,14.857142857142858
Bakery Four,2024-03-07,10,14.571428571428571
Bakery Four,2024-03-08,23,16.142857142857142
Bakery Four,2024-03-14,20,16.428571428571427
Bakery Four,2024-03-20,9,14.857142857142858
Bakery Four,2024-03-21,11,13.428571428571429
Bakery Four,2024-04-03,14,13.142857142857142
Bakery Four,2024-04-04,27,16.285714285714285
Bakery Four,2024-04-12,15,17
Bakery Four,2024-04-17,11,15.285714285714286
Bakery Four,2024-04-24,16,14.714285714285714
Bakery Four,2024-04-25,19,16.142857142857142
Bakery Four,2024-04-26,14,16.571428571428573
Bakery Four,2024-05-02,10,16
Bakery Four,2024-05-03,15,14.285714285714286
Bakery Four,2024-05-08,13,14
Bakery Four,2024-05-09,16,14.714285714285714
Bakery Four,2024-05-15,12,14.142857142857142
Bakery Four,2024-05-16,15,13.571428571428571
Barchetta,2023-08-09,2,NA
Barchetta,2023-08-10,2,NA
Barchetta,2023-08-11,8,NA
Barchetta,2023-08-12,4,NA
Barchetta,2023-08-13,1,NA
Barchetta,2023-08-14,5,NA
Barchetta,2023-08-15,1,3.2857142857142856
Barchetta,2023-08-16,2,3.2857142857142856
Barchetta,2023-08-17,5,3.7142857142857144
Barchetta,2023-08-18,4,3.142857142857143
Barchetta,2023-08-19,2,2.857142857142857
Barchetta,2023-08-20,4,3.2857142857142856
Barchetta,2023-08-21,2,2.857142857142857
Barchetta,2023-08-23,2,3
Barchetta,2023-08-24,3,3.142857142857143
Barchetta,2023-08-25,3,2.857142857142857
Barchetta,2023-08-26,3,2.7142857142857144
Barchetta,2023-08-27,8,3.5714285714285716
Barchetta,2023-08-28,3,3.4285714285714284
Barchetta,2023-08-29,2,3.4285714285714284
Barchetta,2023-08-30,1,3.2857142857142856
Barchetta,2023-08-31,5,3.5714285714285716
Barchetta,2023-09-01,3,3.5714285714285716
Barchetta,2023-09-02,3,3.5714285714285716
Barchetta,2023-09-03,3,2.857142857142857
Barchetta,2023-09-06,2,2.7142857142857144
Barchetta,2023-09-07,4,3
Barchetta,2023-09-09,3,3.2857142857142856
Barchetta,2023-09-10,5,3.2857142857142856
Barchetta,2023-09-11,4,3.4285714285714284
Barchetta,2023-09-13,2,3.2857142857142856
Barchetta,2023-09-14,5,3.5714285714285716
Barchetta,2023-09-15,4,3.857142857142857
Barchetta,2023-09-16,3,3.7142857142857144
Barchetta,2023-09-17,3,3.7142857142857144
Barchetta,2023-09-18,4,3.5714285714285716
Barchetta,2023-09-20,5,3.7142857142857144
Barchetta,2023-09-21,3,3.857142857142857
Barchetta,2023-09-22,5,3.857142857142857
Barchetta,2023-09-23,3,3.7142857142857144
Barchetta,2023-09-25,9,4.571428571428571
Barchetta,2023-09-27,2,4.428571428571429
Barchetta,2023-09-28,3,4.285714285714286
Barchetta,2023-09-29,3,4
Barchetta,2023-10-01,1,3.7142857142857144
Barchetta,2023-10-02,3,3.4285714285714284
Barchetta,2023-10-04,2,3.2857142857142856
Barchetta,2023-10-05,3,2.4285714285714284
Barchetta,2023-10-07,2,2.4285714285714284
Barchetta,2023-10-08,5,2.7142857142857144
Barchetta,2023-10-09,1,2.4285714285714284
Barchetta,2023-10-10,5,3
Barchetta,2023-10-11,1,2.7142857142857144
Barchetta,2023-10-12,3,2.857142857142857
Barchetta,2023-10-13,2,2.7142857142857144
Barchetta,2023-10-14,4,3
Barchetta,2023-10-15,3,2.7142857142857144
Barchetta,2023-10-16,2,2.857142857142857
Barchetta,2023-10-17,1,2.2857142857142856
Barchetta,2023-10-18,4,2.7142857142857144
Barchetta,2023-10-19,4,2.857142857142857
Barchetta,2023-10-20,3,3
Barchetta,2023-10-21,1,2.5714285714285716
Barchetta,2023-10-22,2,2.4285714285714284
Barchetta,2023-10-23,6,3
Barchetta,2023-10-25,4,3.4285714285714284
Barchetta,2023-10-26,8,4
Barchetta,2023-10-27,2,3.7142857142857144
Barchetta,2023-10-29,5,4
Barchetta,2023-11-02,3,4.285714285714286
Barchetta,2023-11-03,5,4.714285714285714
Barchetta,2023-11-04,5,4.571428571428571
Barchetta,2023-11-05,5,4.714285714285714
Barchetta,2023-11-06,2,3.857142857142857
Barchetta,2023-11-08,4,4.142857142857143
Barchetta,2023-11-09,1,3.5714285714285716
Barchetta,2023-11-10,5,3.857142857142857
Barchetta,2023-11-11,4,3.7142857142857144
Barchetta,2023-11-12,4,3.5714285714285716
Barchetta,2023-11-13,3,3.2857142857142856
Barchetta,2023-11-15,6,3.857142857142857
Barchetta,2023-11-16,2,3.5714285714285716
Barchetta,2023-11-17,3,3.857142857142857
Barchetta,2023-11-18,4,3.7142857142857144
Barchetta,2023-11-20,4,3.7142857142857144
Barchetta,2023-11-21,2,3.4285714285714284
Barchetta,2023-11-22,2,3.2857142857142856
Barchetta,2023-11-24,4,3
Barchetta,2023-11-25,2,3
Barchetta,2023-11-26,3,3
Barchetta,2023-11-27,5,3.142857142857143
Barchetta,2023-11-29,4,3.142857142857143
Barchetta,2023-11-30,4,3.4285714285714284
Barchetta,2023-12-03,3,3.5714285714285716
Barchetta,2023-12-04,1,3.142857142857143
Barchetta,2023-12-06,3,3.2857142857142856
Barchetta,2023-12-07,6,3.7142857142857144
Barchetta,2023-12-08,2,3.2857142857142856
Barchetta,2023-12-09,2,3
Barchetta,2023-12-10,3,2.857142857142857
Barchetta,2023-12-12,6,3.2857142857142856
Barchetta,2023-12-13,5,3.857142857142857
Barchetta,2023-12-15,1,3.5714285714285716
Barchetta,2023-12-16,5,3.4285714285714284
Barchetta,2023-12-17,6,4
Barchetta,2023-12-18,1,3.857142857142857
Barchetta,2023-12-20,2,3.7142857142857144
Barchetta,2023-12-21,4,3.4285714285714284
Barchetta,2023-12-22,2,3
Barchetta,2023-12-23,4,3.4285714285714284
Barchetta,2023-12-24,2,3
Barchetta,2023-12-25,2,2.4285714285714284
Barchetta,2023-12-27,2,2.5714285714285716
Barchetta,2023-12-28,1,2.4285714285714284
Barchetta,2023-12-29,1,2
Barchetta,2023-12-30,2,2
Barchetta,2023-12-31,3,1.8571428571428572
Barchetta,2024-01-01,1,1.7142857142857142
Barchetta,2024-01-03,3,1.8571428571428572
Barchetta,2024-01-04,3,2
Barchetta,2024-01-05,7,2.857142857142857
Barchetta,2024-01-06,4,3.2857142857142856
Barchetta,2024-01-07,4,3.5714285714285716
Barchetta,2024-01-09,2,3.4285714285714284
Barchetta,2024-01-10,2,3.5714285714285716
Barchetta,2024-01-11,3,3.5714285714285716
Barchetta,2024-01-12,3,3.5714285714285716
Barchetta,2024-01-13,3,3
Barchetta,2024-01-14,3,2.857142857142857
Barchetta,2024-01-15,7,3.2857142857142856
Barchetta,2024-01-17,1,3.142857142857143
Barchetta,2024-01-18,6,3.7142857142857144
Barchetta,2024-01-19,4,3.857142857142857
Barchetta,2024-01-21,6,4.285714285714286
Barchetta,2024-01-22,2,4.142857142857143
Barchetta,2024-01-23,1,3.857142857142857
Barchetta,2024-01-24,3,3.2857142857142856
Barchetta,2024-01-25,1,3.2857142857142856
Barchetta,2024-01-26,8,3.5714285714285716
Barchetta,2024-01-27,3,3.4285714285714284
Barchetta,2024-01-28,2,2.857142857142857
Barchetta,2024-01-29,2,2.857142857142857
Barchetta,2024-01-31,3,3.142857142857143
Barchetta,2024-02-01,4,3.2857142857142856
Barchetta,2024-02-02,5,3.857142857142857
Barchetta,2024-02-03,1,2.857142857142857
Barchetta,2024-02-04,5,3.142857142857143
Barchetta,2024-02-05,5,3.5714285714285716
Barchetta,2024-02-07,5,4
Barchetta,2024-02-08,3,4
Barchetta,2024-02-09,4,4
Barchetta,2024-02-10,3,3.7142857142857144
Barchetta,2024-02-11,2,3.857142857142857
Barchetta,2024-02-12,2,3.4285714285714284
Barchetta,2024-02-14,2,3
Barchetta,2024-02-15,4,2.857142857142857
Barchetta,2024-02-16,7,3.4285714285714284
Barchetta,2024-02-17,3,3.2857142857142856
Barchetta,2024-02-18,3,3.2857142857142856
Barchetta,2024-02-20,1,3.142857142857143
Barchetta,2024-02-21,6,3.7142857142857144
Barchetta,2024-02-22,2,3.7142857142857144
Barchetta,2024-02-23,2,3.4285714285714284
Barchetta,2024-02-24,2,2.7142857142857144
Barchetta,2024-02-25,5,3
Barchetta,2024-02-26,2,2.857142857142857
Barchetta,2024-02-28,4,3.2857142857142856
Barchetta,2024-03-02,5,3.142857142857143
Barchetta,2024-03-03,2,3.142857142857143
Barchetta,2024-03-04,3,3.2857142857142856
Barchetta,2024-03-05,2,3.2857142857142856
Barchetta,2024-03-06,6,3.4285714285714284
Barchetta,2024-03-07,4,3.7142857142857144
Barchetta,2024-03-09,4,3.7142857142857144
Barchetta,2024-03-10,3,3.4285714285714284
Barchetta,2024-03-11,3,3.5714285714285716
Barchetta,2024-03-13,9,4.428571428571429
Barchetta,2024-03-14,2,4.428571428571429
Barchetta,2024-03-15,2,3.857142857142857
Barchetta,2024-03-16,2,3.5714285714285716
Barchetta,2024-03-17,8,4.142857142857143
Barchetta,2024-03-18,3,4.142857142857143
Barchetta,2024-03-20,3,4.142857142857143
Barchetta,2024-03-21,2,3.142857142857143
Barchetta,2024-03-22,9,4.142857142857143
Barchetta,2024-03-23,5,4.571428571428571
Barchetta,2024-03-24,4,4.857142857142857
Barchetta,2024-03-25,5,4.428571428571429
Barchetta,2024-03-27,3,4.428571428571429
Barchetta,2024-03-28,2,4.285714285714286
Barchetta,2024-03-29,8,5.142857142857143
Barchetta,2024-03-30,7,4.857142857142857
Barchetta,2024-03-31,4,4.714285714285714
Barchetta,2024-04-01,3,4.571428571428571
Barchetta,2024-04-03,4,4.428571428571429
Barchetta,2024-04-04,6,4.857142857142857
Barchetta,2024-04-05,3,5
Barchetta,2024-04-08,3,4.285714285714286
Barchetta,2024-04-10,1,3.4285714285714284
Barchetta,2024-04-11,6,3.7142857142857144
Barchetta,2024-04-12,5,4
Barchetta,2024-04-13,2,3.7142857142857144
Barchetta,2024-04-14,2,3.142857142857143
Barchetta,2024-04-15,3,3.142857142857143
Barchetta,2024-04-17,6,3.5714285714285716
Barchetta,2024-04-18,2,3.7142857142857144
Barchetta,2024-04-19,3,3.2857142857142856
Barchetta,2024-04-20,1,2.7142857142857144
Barchetta,2024-04-21,2,2.7142857142857144
Barchetta,2024-04-22,5,3.142857142857143
Barchetta,2024-04-24,2,3
Barchetta,2024-04-25,2,2.4285714285714284
Barchetta,2024-04-26,2,2.4285714285714284
Barchetta,2024-04-27,4,2.5714285714285716
Barchetta,2024-04-28,4,3
Barchetta,2024-04-29,5,3.4285714285714284
Barchetta,2024-05-01,6,3.5714285714285716
Barchetta,2024-05-02,4,3.857142857142857
Barchetta,2024-05-03,3,4
Barchetta,2024-05-04,5,4.428571428571429
Barchetta,2024-05-05,5,4.571428571428571
Barchetta,2024-05-06,4,4.571428571428571
Barchetta,2024-05-08,3,4.285714285714286
Barchetta,2024-05-10,1,3.5714285714285716
Barchetta,2024-05-11,1,3.142857142857143
Barchetta,2024-05-12,5,3.4285714285714284
Barchetta,2024-05-14,1,2.857142857142857
Barchetta,2024-05-15,2,2.4285714285714284
Barchetta,2024-05-16,2,2.142857142857143
Barchetta,2024-05-17,1,1.8571428571428572
Barchetta,2024-05-18,2,2
Barchetta,2024-05-19,2,2.142857142857143
Barchetta,2024-05-20,4,2
Barchetta,2024-05-21,1,2
Barchetta,2024-05-22,4,2.2857142857142856
Barchetta,2024-05-23,5,2.7142857142857144
Basilico Italiano,2024-02-08,3,NA
Basilico Italiano,2024-02-11,10,NA
Basilico Italiano,2024-02-15,3,NA
Basilico Italiano,2024-02-25,5,NA
Basilico Italiano,2024-02-26,5,NA
