Partner,total_unsold,Address,lon,lat,address
Just BE Kitchen LoHi,48,"2364 15th St, Denver, CO 80202",-105.0091486,39.7560568,"2364 15th st, denver, co 80202, usa"
Leroys Bagels,232,"4432 W 29th Ave, Denver, CO 80212",-105.0446685,39.7583361,"4432 w 29th ave, denver, co 80212, usa"
Libretto's Pizzeria,6,"15205 John J Delaney Dr Suite A, Charlotte, NC 28277",-80.84694429999999,35.0539887,"15205 john j delaney dr a, charlotte, nc 28277, usa"
Lillie Fuel,1,"426 West Coleman Blvd, Mount Pleasant, SC 29466",-79.88406390000002,32.7961233,"426 w coleman blvd, mt pleasant, sc 29464, usa"
Lottie's Cafe,29,"210 East Trade Street, Charlotte 28202",-80.8424416,35.225622,"210 e trade st, charlotte, nc 28202, usa"
Mediterranean Cafe,10,"625 State St, Madison, WI 53703",-89.3964548,43.0746967,"625 state st, madison, wi 53715, usa"
Mercantile Dining & Provisions,88,"1705 Wynkoop St Ste 155, Denver, CO 80202-2197",-105.0023138,39.752802,"1705 wynkoop st #155, denver, co 80202, usa"
Mis Raices Cafe,79,"1325 Grand Ave Suite 3, Phoenix, AZ 85007",-112.09016,33.4572398,"1325 grand ave #3, phoenix, az 85007, usa"
Mr. Biscuits Bakery,9,"7176 West 38th Ave Wheat Ridge, CO 80033",-105.076887,39.7691434,"7176 w 38th ave, wheat ridge, co 80033, usa"
My Vision Nutrition - Bonnie Brae,506,"727 S University Blvd Denver, CO 80209",-104.9597398,39.7031438,"727 s university blvd, denver, co 80209, usa"
Nude Foods Denver,19,"3538 W 44th Ave, Denver, CO 80211",-105.0343267,39.7765661,"3538 w 44th ave, denver, co 80211, usa"
Pizza 3.14,1,"225 E 20th Ave, Denver, CO 80205",-104.9841594,39.7478201,"225 e 20th ave, denver, co 80205, usa"
Red Velvet Bakery,62,6828 S Central Phoenix 85042,-112.0736913,33.3839773,"6828 s central ave, phoenix, az 85042, usa"
Rolled Out Bakery,18,"2655 West Guadalupe Road Mesa, AZ, 85202",-111.8917919,33.3625159,"2655 w guadalupe rd, mesa, az 85202, usa"
Sabores Bakery,3,"20833 Catawba Avenue, Cornelius, 28031",-80.8677013,35.4842402,"20833 catawba ave, cornelius, nc 28031, usa"
Sati Coffee Co.,32,"5224 W 25th St Edgewater, Denver CO",-105.0540369,39.7528913,"5224 w 25th ave, edgewater, co 80214, usa"
Saucy's Southern BBQ & Cuisine,46,"2100 S University Blvd, Denver, CO 80210",-104.9591013,39.67818339999999,"2100 s university blvd, denver, co 80210, usa"
Slice Co.,12,"1662 Savannah Hwy, Suit 202, Charleston, SC 29407-2235",-80.01603,32.78795900000001,"1662 savannah hwy suit 202, charleston, sc 29407, usa"
Sweet Cakes Bakery,6,"20601 Torrence Chapel Rd, Cornelius, NC 28031",-80.87824959999999,35.4849999,"20601 torrence chapel rd, cornelius, nc 28031, usa"
Sweet Spot Studio,2,"4418 Monroe Road Charlotte, NC",-80.7857944,35.1934818,"4418 monroe rd, charlotte, nc 28205, usa"
Sweetly Baked,20,"207 E Buffalo St, Ste 104, Milwaukee, WI 53202",-87.908583,43.033482,"207 e buffalo st suite 104, milwaukee, wi 53202, usa"
Table and Twine,10,"2600 Youngblood Street, Charlotte, 28203",-80.8685886,35.2041024,"2600 youngblood st, charlotte, nc 28203, usa"
The Cake Bar,14,"214 E 13th Ave, Denver, CO 80203",-104.984358,39.736722,"214 e 13th ave, denver, co 80203, usa"
The Counter,20,"1098 Brawley School Rd. Suite G, Mooresville, NC 28117",-80.90159,35.57054,"1098 brawley school rd g, mooresville, nc 28117, usa"
The Front Porch,4,"3510 Park Avenue Blvd, Ste 104, Mount Pleasant, SC 29466, United States",-79.7703375,32.8831027,"3510 park ave blvd #104, mt pleasant, sc 29466, usa"
The Giddy Goat,1,"1217 The Plaza, Charlotte, NC 28205",-80.81105769999999,35.2189056,"1217 the plaza, charlotte, nc 28205, usa"
The Post Chicken and Beer - LoHi,35,"1575 Boulder St Denver, CO 80211",-105.0109285,39.759241,"1575 boulder st, denver, co 80211, usa"
The Post Chicken and Beer - Rosedale,34,"2200 S Broadway, Denver, CO 80210",-104.9872615,39.6764116,"2200 s broadway, denver, co 80210, usa"
Thump Coffee,126,"1201 E 13th Ave Denver, CO 80218",-104.9728066,39.7370362,"1201 e 13th ave, denver, co 80218, usa"
Trompeau Bakery & Cafe - Broadway,99,"2950 S Broadway, Englewood, CO 80113",-104.9870326,39.663372,"2950 s broadway, englewood, co 80113, usa"
Trompeau Cafe - 16th Street,16,"934 16th St Mall, Denver CO 80202",-104.994701,39.7467596,"934 16th st mall, denver, co 80202, usa"
Tí Cafe,22,"30 N Broadway Denver, CO 80203",-104.987177,39.7172627,"30 n broadway, denver, co 80203, usa"
Verde,64,"4731 Mixson Ave Charleston, SC 29405
 Mount Pleasant, SC",-79.9930074,32.8807061,"4731 mixson ave, north charleston, sc 29405, usa"
Verde,64,"616-A Long Point Road Mount Pleasant, SC",-79.8578856,32.8395041,"616 long point rd a, mt pleasant, sc 29464, usa"
Vital Root,19,"3915 Tennyson St Denver, CO 80212",-105.0443229,39.7714264,"3915 tennyson st, denver, co 80212, usa"
Vitality Bowls,1,"1414 S Tryon St Store #150, Charlotte, NC 28203",-80.8552911,35.2175106,"1414 s tryon st #150, charlotte, nc 28203, usa"
Vitality Bowls,1,"2525 Arapahoe Ave Unit A3, A√ßa√≠ Bowls, Boulder, CO 80302-6722",-105.2599645,40.0149725,"2525 arapahoe ave a3 a, boulder, co 80302, usa"
We Knead Donut - Littleton,303,"8246 W Bowles Ave, Unit C, Littleton, CO 80123, United States",-105.09047,39.6067876,"8246 w bowles ave c, littleton, co 80123, usa"
We Knead Donut - Wash Park,116,"723 S University Blvd, Denver, CO",-104.9597055,39.7032764,"723 s university blvd, denver, co 80209, usa"
We Knead Donut Aurora,23,"4213 South Buckley Road, Aurora Colorado 80013",-104.7923999,39.64024860000001,"4213 s buckley rd, aurora, co 80013, usa"
White Girl Tacos,50,"1900 E 5th St, Tempe, AZ 85288",-111.9040883,33.4261186,"1900 e 5th st, tempe, az 85288, usa"
Wildcrafted Crust,3,"11714 Crossroads Place, Concord 28025",-80.60044789999999,35.262825,"11714 crossroads pl, concord, nc 28025, usa"
Yard Cooked Dishes,13,"1610 Ashley Rd, Charlotte, NC 28208",-80.89765849999999,35.2402259,"1610 ashley rd, charlotte, nc 28208, usa"
Yummi Muffin,980,"40 Concord Commons PI SW, Concord, NY 28027",-80.6209622,35.3903492,"40 concord commons pl sw, concord, nc 28027, usa"
